Taille moyenne des ménages privés
Taille moyenne des familles de recensement
Taille moyenne des familles économiques
Taille moyenne des familles économiques comptant un couple sans enfants ni autres personnes apparentées
Taille moyenne des familles économiques comptant un couple avec enfants
Taille moyenne des familles économiques monoparentales
